time,x,y,z,xref,yref,zref,ux,uy,uz
1.8e-05,-1.685,0.6689,0.0007063,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.01725,-1.592,0.6348,0.0005253,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.026783,-1.553,0.6055,0.0004436,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.036792,-1.538,0.5811,0.0003356,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.046782,-1.499,0.5322,0.0002685,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.056783,-1.494,0.4883,0.0001926,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.066782,-1.47,0.4492,0.0001226,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.076782,-1.46,0.4248,4.378e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.086783,-1.484,0.3613,-5.837e-06,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.096783,-1.494,0.3076,-4.086e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.106783,-1.543,0.249,-8.756e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.116781,-1.597,0.1953,-0.000108,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.126782,-1.68,0.1367,-0.0001284,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.136783,-1.753,0.06348,-0.0001284,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.146782,-1.855,0.03418,-0.0001488,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.156783,-1.958,-0.03906,-0.0001313,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.166782,-2.051,-0.09766,-0.0001138,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.176782,-2.168,-0.1465,-9.048e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.186782,-2.275,-0.2246,-4.086e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
0.196782,-2.397,-0.2637,-2.919e-06,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961
