time,x,y,z,xref,yref,zref,ux,uy,uz
1.9e-05,2.251,-0.1562,-0.0004495,6.072e-07,6.072e-07,0.0006072,-1.221e-06,-1.221e-06,0.01961
0.010234,2.305,-0.1123,-0.0003882,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.020241,2.378,-0.05371,-0.0003123,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902
0.030234,2.446,0.0293,-0.0002306,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.040234,2.534,0.08789,-0.0001693,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.050234,2.598,0.1562,-0.0001664,-7.351e-06,-7.351e-06,-0.007351,-8.547e-06,-8.547e-06,0.01961
0.060234,2.7,0.2051,-0.0002101,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.070234,2.754,0.2344,-0.000324,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.080234,2.842,0.2686,-0.0004611,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.090234,2.91,0.2832,-0.0005604,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.100234,2.983,0.3125,-0.0006363,7.342e-06,7.342e-06,0.007342,6.105e-06,6.105e-06,0.01961
0.110234,3.081,0.3662,-0.0006654,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.120234,3.184,0.4102,-0.0006596,0.0004777,0.0004777,0.4777,0.0004774,0.0004774,0.4902
0.130234,3.311,0.4688,-0.0006392,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.140234,3.438,0.5225,-0.0006479,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.150234,3.54,0.5469,-0.0007005,-7.339e-06,-7.339e-06,-0.007339,-8.547e-06,-8.547e-06,0.01961
0.160234,3.638,0.5908,-0.0008318,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.170234,3.716,0.5908,-0.0009836,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.180235,3.784,0.5957,-0.001173,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.190234,3.853,0.5957,-0.00134,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.200234,3.921,0.5762,-0.001453,7.34e-06,7.34e-06,0.00734,6.105e-06,6.105e-06,0.01961
0.210234,4.004,0.5957,-0.001521,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.220233,4.102,0.5957,-0.001535,0.0004777,0.0004777,0.4777,0.0004774,0.0004774,0.4902
0.230234,4.185,0.6152,-0.001547,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.240234,4.268,0.6348,-0.001573,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.250235,4.316,0.6299,-0.001649,-7.371e-06,-7.371e-06,-0.007371,-8.547e-06,-8.547e-06,0.01961
0.260234,4.385,0.6055,-0.001757,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.270233,4.39,0.5908,-0.001938,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.280234,4.404,0.542,-0.002104,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.290234,4.404,0.498,-0.002253,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.300234,4.404,0.4492,-0.002349,7.342e-06,7.342e-06,0.007342,6.105e-06,6.105e-06,0.01961
0.310235,4.429,0.4053,-0.00237,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.320235,4.419,0.3809,-0.002367,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902
0.330234,4.419,0.3564,-0.002329,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.340234,4.414,0.3369,-0.002312,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.350234,4.39,0.2979,-0.002329,-7.341e-06,-7.341e-06,-0.007341,-8.547e-06,-8.547e-06,0.01961
0.360234,4.336,0.2637,-0.002396,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.370233,4.277,0.1953,-0.002498,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.380234,4.209,0.1318,-0.002603,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.390235,4.136,0.04883,-0.002668,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.400234,4.033,-0.009766,-0.002703,7.363e-06,7.363e-06,0.007363,6.105e-06,6.105e-06,0.01961
0.410234,3.994,-0.08301,-0.002635,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.420234,3.892,-0.1221,-0.002548,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902
0.430233,3.833,-0.1514,-0.002431,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.440235,3.74,-0.1709,-0.002341,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.450233,3.643,-0.2148,-0.002271,-7.333e-06,-7.333e-06,-0.007333,-8.547e-06,-8.547e-06,0.01961
0.460234,3.564,-0.2637,-0.002244,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.470234,3.423,-0.3076,-0.002277,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.480235,3.306,-0.376,-0.002291,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.490234,3.179,-0.4395,-0.002291,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.500234,3.057,-0.4932,-0.002241,7.355e-06,7.355e-06,0.007355,6.105e-06,6.105e-06,0.01961
0.510233,2.949,-0.5225,-0.002116,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.520234,2.842,-0.5518,-0.001941,0.0004777,0.0004777,0.4777,0.0004774,0.0004774,0.4902
0.530235,2.754,-0.5518,-0.001763,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.540234,2.676,-0.5713,-0.001582,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.550234,2.568,-0.5713,-0.001468,-7.352e-06,-7.352e-06,-0.007352,-8.547e-06,-8.547e-06,0.01961
0.560234,2.476,-0.5664,-0.001407,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.570234,2.373,-0.5908,-0.00138,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.580234,2.28,-0.6152,-0.001363,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.590234,2.183,-0.6494,-0.001313,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.600235,2.095,-0.6592,-0.001232,7.371e-06,7.371e-06,0.007371,6.105e-06,6.105e-06,0.01961
0.610234,2.036,-0.6494,-0.001086,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.620233,1.982,-0.6299,-0.0009077,0.0004777,0.0004777,0.4777,0.0004774,0.0004774,0.4902
0.630234,1.943,-0.5859,-0.0007151,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.640235,1.919,-0.5371,-0.0005633,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.650233,1.89,-0.498,-0.0004495,-7.334e-06,-7.334e-06,-0.007334,-8.547e-06,-8.547e-06,0.01961
0.660234,1.885,-0.4639,-0.0003969,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.670233,1.865,-0.4492,-0.0003853,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.680235,1.846,-0.4199,-0.0004086,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.690234,1.836,-0.4053,-0.0003998,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.700233,1.826,-0.376,-0.0003619,7.333e-06,7.333e-06,0.007333,6.105e-06,6.105e-06,0.01961
0.710235,1.855,-0.3271,-0.0002714,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
0.720233,1.89,-0.2637,-0.0001576,0.0004777,0.0004777,0.4777,0.0004774,0.0004774,0.4902
0.730235,1.968,-0.1855,-3.502e-05,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902
0.740234,2.041,-0.1074,5.545e-05,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941
0.750234,2.114,-0.03418,7.88e-05,-7.339e-06,-7.339e-06,-0.007339,-8.547e-06,-8.547e-06,0.01961
0.760234,2.197,0.01953,7.588e-05,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941
0.770234,2.256,0.06348,-8.756e-06,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451
0.780235,2.334,0.1025,-0.000108,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451
0.790234,2.412,0.1367,-0.0001955,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549
0.800234,2.5,0.1758,-0.0002422,7.358e-06,7.358e-06,0.007358,6.105e-06,6.105e-06,0.01961
0.810234,2.603,0.2441,-0.0002539,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333
