# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:15:00 1997
# 
# Experiment: Data Acquisition from Chua's Circuit.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.000018 -1.685e+00 6.689e-01 7.063e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.017250 -1.592e+00 6.348e-01 5.253e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.026783 -1.553e+00 6.055e-01 4.436e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.036792 -1.538e+00 5.811e-01 3.356e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.046782 -1.499e+00 5.322e-01 2.685e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.056783 -1.494e+00 4.883e-01 1.926e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.066782 -1.470e+00 4.492e-01 1.226e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.076782 -1.460e+00 4.248e-01 4.378e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.086783 -1.484e+00 3.613e-01 -5.837e-06 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.096783 -1.494e+00 3.076e-01 -4.086e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.106783 -1.543e+00 2.490e-01 -8.756e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.116781 -1.597e+00 1.953e-01 -1.080e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.126782 -1.680e+00 1.367e-01 -1.284e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.136783 -1.753e+00 6.348e-02 -1.284e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.146782 -1.855e+00 3.418e-02 -1.488e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.156783 -1.958e+00 -3.906e-02 -1.313e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.166782 -2.051e+00 -9.766e-02 -1.138e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.176782 -2.168e+00 -1.465e-01 -9.048e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.186782 -2.275e+00 -2.246e-01 -4.086e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.196782 -2.397e+00 -2.637e-01 -2.919e-06 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.206782 -2.515e+00 -3.369e-01 6.129e-05 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.216782 -2.637e+00 -3.857e-01 1.313e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.226783 -2.764e+00 -4.346e-01 2.043e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.236783 -2.910e+00 -4.883e-01 2.889e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.246783 -3.027e+00 -5.371e-01 3.853e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.256782 -3.164e+00 -5.713e-01 4.728e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.266783 -3.301e+00 -6.055e-01 5.750e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
0.276782 -3.418e+00 -6.201e-01 6.713e-04 3.922e-06 3.922e-06 3.922e-03 -5.882e-05 3.663e-06 1.961e-02
