# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.000019 2.251e+00 -1.562e-01 -4.495e-04 6.072e-07 6.072e-07 6.072e-04 -1.221e-06 -1.221e-06 1.961e-02
0.010234 2.305e+00 -1.123e-01 -3.882e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.020241 2.378e+00 -5.371e-02 -3.123e-04 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
0.030234 2.446e+00 2.930e-02 -2.306e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.040234 2.534e+00 8.789e-02 -1.693e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.050234 2.598e+00 1.562e-01 -1.664e-04 -7.351e-06 -7.351e-06 -7.351e-03 -8.547e-06 -8.547e-06 1.961e-02
0.060234 2.700e+00 2.051e-01 -2.101e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.070234 2.754e+00 2.344e-01 -3.240e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.080234 2.842e+00 2.686e-01 -4.611e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.090234 2.910e+00 2.832e-01 -5.604e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.100234 2.983e+00 3.125e-01 -6.363e-04 7.342e-06 7.342e-06 7.342e-03 6.105e-06 6.105e-06 1.961e-02
0.110234 3.081e+00 3.662e-01 -6.654e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.120234 3.184e+00 4.102e-01 -6.596e-04 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.130234 3.311e+00 4.688e-01 -6.392e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.140234 3.438e+00 5.225e-01 -6.479e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.150234 3.540e+00 5.469e-01 -7.005e-04 -7.339e-06 -7.339e-06 -7.339e-03 -8.547e-06 -8.547e-06 1.961e-02
0.160234 3.638e+00 5.908e-01 -8.318e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.170234 3.716e+00 5.908e-01 -9.836e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.180235 3.784e+00 5.957e-01 -1.173e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.190234 3.853e+00 5.957e-01 -1.340e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.200234 3.921e+00 5.762e-01 -1.453e-03 7.340e-06 7.340e-06 7.340e-03 6.105e-06 6.105e-06 1.961e-02
0.210234 4.004e+00 5.957e-01 -1.521e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.220233 4.102e+00 5.957e-01 -1.535e-03 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.230234 4.185e+00 6.152e-01 -1.547e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.240234 4.268e+00 6.348e-01 -1.573e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.250235 4.316e+00 6.299e-01 -1.649e-03 -7.371e-06 -7.371e-06 -7.371e-03 -8.547e-06 -8.547e-06 1.961e-02
0.260234 4.385e+00 6.055e-01 -1.757e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.270233 4.390e+00 5.908e-01 -1.938e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.280234 4.404e+00 5.420e-01 -2.104e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.290234 4.404e+00 4.980e-01 -2.253e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.300234 4.404e+00 4.492e-01 -2.349e-03 7.342e-06 7.342e-06 7.342e-03 6.105e-06 6.105e-06 1.961e-02
0.310235 4.429e+00 4.053e-01 -2.370e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.320235 4.419e+00 3.809e-01 -2.367e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
0.330234 4.419e+00 3.564e-01 -2.329e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.340234 4.414e+00 3.369e-01 -2.312e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.350234 4.390e+00 2.979e-01 -2.329e-03 -7.341e-06 -7.341e-06 -7.341e-03 -8.547e-06 -8.547e-06 1.961e-02
0.360234 4.336e+00 2.637e-01 -2.396e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.370233 4.277e+00 1.953e-01 -2.498e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.380234 4.209e+00 1.318e-01 -2.603e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.390235 4.136e+00 4.883e-02 -2.668e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.400234 4.033e+00 -9.766e-03 -2.703e-03 7.363e-06 7.363e-06 7.363e-03 6.105e-06 6.105e-06 1.961e-02
0.410234 3.994e+00 -8.301e-02 -2.635e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.420234 3.892e+00 -1.221e-01 -2.548e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
0.430233 3.833e+00 -1.514e-01 -2.431e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.440235 3.740e+00 -1.709e-01 -2.341e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.450233 3.643e+00 -2.148e-01 -2.271e-03 -7.333e-06 -7.333e-06 -7.333e-03 -8.547e-06 -8.547e-06 1.961e-02
0.460234 3.564e+00 -2.637e-01 -2.244e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.470234 3.423e+00 -3.076e-01 -2.277e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.480235 3.306e+00 -3.760e-01 -2.291e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
