time,vC2_true,iL_true,vC2_EKF,iL_EKF,vC2_UKF,iL_UKF,vC1_meas
0.0,0.6015,0.0003899,-0.028579812949032155,-3.20963837458333e-06,-0.0285791699669681,-2.8322343882138356e-06,-1.482
0.01,0.5482,0.0002485,0.9744410584050597,0.009802204316385232,0.9744797090286068,0.009803123130288312,-1.482
0.02,0.4924,0.0002765,0.7917769199556134,0.004411175932046894,0.7918325154600094,0.004412293268268316,-1.472
0.03,0.442,0.0001093,0.6466035648795727,0.002144967204887321,0.6466709538734852,0.002146170813382846,-1.466
0.04,0.3784,1.175e-05,0.46096069599605793,0.0007000924261917796,0.46104197018139403,0.000701411126926466,-1.488
0.05,0.3293,-0.0001013,0.24705615402638822,-0.0002955122680973791,0.24715578470562338,-0.00029404843129375916,-1.549
0.06,0.2738,-5.409e-05,0.20810149835993744,-0.000199463545859749,0.20823373137573564,-0.0001978260467513122,-1.579
0.07,0.2003,-7.431e-05,0.1251214340292612,-0.00029305351869821105,0.12527726651776921,-0.0002912848301138365,-1.655
0.08,0.1255,-0.0001885,0.06473511545189366,-0.0002743429422324627,0.06492071162458847,-0.00027243487620535084,-1.732
0.09,0.05681,-0.0002246,0.02310568039479667,-0.00018816008384417508,0.023322013255189143,-0.0001861327551583299,-1.817
0.1,-0.009034,-0.0002169,-0.3675878373132247,-0.0011935089511210504,-0.03029792236217943,-0.00014057638555399574,-1.919
0.11,-0.09025,-0.0002551,-0.8224952002602366,-0.0021888238584973846,-0.07526766960276712,-6.131893058838632e-05,-2.015
0.12,-0.1594,-9.721e-05,-1.2575196454324344,-0.0029085471164673566,-0.14552033470388645,-5.9623249339743e-05,-2.137
0.13,-0.2435,-0.0001253,-1.6090673011618046,-0.003200186763819861,-0.22857786829567198,-8.077862747669551e-05,-2.264
0.14,-0.3099,-7.374e-05,-1.8463102219862064,-0.0030378044305985432,-0.30476328067393244,-5.7229766473310416e-05,-2.386
0.15,-0.3776,6.828e-05,-1.9858438604011603,-0.0025533077610139358,-0.3813219063262167,-1.9515541400130326e-05,-2.517
0.16,-0.4401,3.157e-05,-2.0290661148195075,-0.0018115240207641921,-0.4396298633506802,9.078253100755729e-05,-2.638
0.17,-0.5132,0.0001417,-2.043243290774743,-0.001084513991833614,-0.5219120088983064,0.0001226079087110934,-2.791
0.18,-0.5694,0.0002599,-2.01395378185655,-0.000326366113160892,-0.5885623648089556,0.00022154779777306316,-2.925
0.19,-0.6313,0.0004319,-1.9850980574895347,0.0003095200681555791,-0.662122579083581,0.000301212385227965,-3.076
0.2,-0.6788,0.0005838,-1.9712519866821292,0.0007972383488879314,-0.7417947713190203,0.00036888788130626736,-3.233
0.21,-0.745,0.000691,-1.9160416303573051,0.001347191689884814,-0.7621063050325543,0.0006402526811402141,-3.342
0.22,-0.7966,0.000828,-1.8843196330630239,0.0017323456508134833,-0.7842194597528209,0.000873961430868269,-3.479
0.23,-0.8405,0.000974,-1.896947251894086,0.001915908584875502,-0.8293985392833193,0.0010077022425024477,-3.632
0.24,-0.8655,0.0009686,-1.8841968212732636,0.002164200763002928,-0.8309765298054859,0.0012780867845124742,-3.737
0.25,-0.8897,0.001258,-1.941220706966602,0.0021533662347201217,-0.8885304301241495,0.001332329204613529,-3.905
0.26,-0.9192,0.001416,-1.9719538680807422,0.0022488530146504877,-0.9107786675291976,0.0015113913590841042,-4.017
0.27,-0.9352,0.001695,-2.0035663693032557,0.00234040517681227,-0.929224568860971,0.0016866067102573965,-4.14
0.28,-0.9508,0.001783,-2.0085767015773928,0.002517739994035579,-0.9198661561877284,0.0019357772324474116,-4.238
0.29,-0.9548,0.002097,-2.0173115308143976,0.0026637061448112217,-0.9154591694347928,0.002135655394976715,-4.347
0.3,-0.9624,0.002159,-2.038441083068926,0.0027556615970231106,-0.9260948407350557,0.0022621459592227344,-4.46
0.31,-0.9375,0.002315,-2.0430208106986534,0.002898154310061715,-0.9233859159363015,0.0024216143384396564,-4.55
0.32,-0.9304,0.002612,-2.05080600862773,0.003015742818842839,-0.9269975003689059,0.0025422579037948697,-4.646
0.33,-0.9185,0.002726,-2.0524274936561286,0.003143142669019165,-0.9270721457872889,0.0026631303340433825,-4.731
0.34,-0.8946,0.002904,-2.010955076096765,0.0033972330366914454,-0.8859896057005784,0.0029053360417983804,-4.778
0.35,-0.8486,0.003111,-1.9582745962742825,0.0036462339408501647,-0.8349072229122654,0.003140578080581268,-4.827
0.36,-0.8124,0.003206,-1.890586894554291,0.003900984338733356,-0.7693899430898933,0.0033822357986283223,-4.858
0.37,-0.7679,0.003333,-1.830259792664692,0.004084885514932889,-0.7113087675658746,0.0035552655054192322,-4.89
0.38,-0.7085,0.00355,-1.7914758324193516,0.004164083296058335,-0.6745155321480036,0.0036265133167328943,-4.925
0.39,-0.6623,0.003625,-1.7422707421269896,0.004262323834736118,-0.6268646276303519,0.003719823621176908,-4.932
0.4,-0.6027,0.003739,-1.6947411452140355,0.004334759844964585,-0.5803854230804751,0.003789991573334134,-4.936
0.41,-0.5293,0.003836,-1.6385065676544102,0.004418857338538704,-0.5247261648232101,0.003873887524813275,-4.923
0.42,-0.4602,0.003964,-1.575351271084879,0.004504741628536347,-0.4617531430948074,0.0039609591677106,-4.899
0.43,-0.3964,0.004017,-1.4579593810539881,0.00474377547532957,-0.34425746182282035,0.004201980466926879,-4.823
0.44,-0.3096,0.004159,-1.3860373507179058,0.004777507749410428,-0.2720491876393507,0.004237894559545344,-4.796
0.45,-0.2249,0.004161,-1.3109692600957026,0.004804097909531649,-0.1966294510121542,0.004266476707909823,-4.734
0.46,-0.1555,0.004223,-1.243649043515412,0.004787991944117167,-0.1289628742292437,0.004251956956822013,-4.67
0.47,-0.07464,0.00416,-1.1446682804924577,0.004864534886113934,-0.029687545709873926,0.004329635868708042,-4.567
0.48,0.007956,0.004276,-1.0829204262241203,0.004788907711610338,0.03228630067803818,0.004254655461287419,-4.499
0.49,0.09936,0.004259,-0.9951976941283671,0.004796580554344102,0.12014986432556593,0.004262586860310621,-4.384
0.5,0.1828,0.00424,-0.9191094257347895,0.004746773504535162,0.1963106155454108,0.004212743290859365,-4.282
0.51,0.2552,0.004235,-0.8255555760180172,0.0047445533713345684,0.28987971916403515,0.00421031493944987,-4.152
0.52,0.3474,0.004121,-0.7506506350282842,0.004661317609991701,0.36476404144967284,0.004126769861032041,-4.037
0.53,0.4271,0.004063,-0.6849488154653749,0.004543428436242869,0.43041933710593605,0.004008536009656534,-3.914
0.54,0.4987,0.00396,-0.6021002323824499,0.004482967612939133,0.513210581818377,0.0039477789288084545,-3.767
0.55,0.5598,0.003816,-0.5195335370916078,0.004410526599071966,0.5957262286613764,0.003875120616274417,-3.622
0.56,0.6446,0.003717,-0.45045934939946436,0.004284702435380785,0.664759993658182,0.0037491463542942307,-3.482
0.57,0.6983,0.003588,-0.3848098505914104,0.004148647919968825,0.7303787039561905,0.0036130042786179594,-3.334
0.58,0.7713,0.003504,-0.3384297819348558,0.003952729543937335,0.7767382516008228,0.0034170370155912574,-3.197
0.59,0.8288,0.003258,-0.2888792013433165,0.003782391557841173,0.8262749904561753,0.003246692206952222,-3.047
0.6,0.8791,0.003049,-0.24572801872774586,0.0036015441441762225,0.8694215109115829,0.0030658704412609202,-2.903
0.61,0.906,0.003017,-0.2025901994376676,0.003433464765538314,0.9125615474402796,0.0028978412829192804,-2.756
0.62,0.954,0.002828,-0.17093511177839177,0.0032386808765904646,0.94422433122279,0.002703111566621711,-2.619
0.63,0.9934,0.002579,-0.15324725843557133,0.003015324764963509,0.9619206010612106,0.0024797954831207412,-2.49
0.64,1.015,0.00234,-0.11195190988069634,0.0028923106737863634,1.0032235101930653,0.002356839988887197,-2.338
0.65,1.026,0.002159,-0.09256219002536628,0.002701611276665378,1.022626071453378,0.002166189030331058,-2.217
0.66,1.042,0.002061,-0.09708069667009006,0.0024515646053459537,1.0181163227621606,0.001916152003722384,-2.109
0.67,1.048,0.001821,-0.07692587533504222,0.00231367322231522,1.0382735346874699,0.0017782779846564755,-1.975
0.68,1.037,0.001678,-0.0893163393122247,0.002079987959608593,1.025888191387121,0.0015445901033659588,-1.884
0.69,1.043,0.001385,-0.09408675935353873,0.0019022473525481922,1.0211174860963945,0.001366844020370372,-1.778
0.7,1.021,0.001205,-0.10113497827445253,0.0017382273040975342,1.0140698701526838,0.0012028260694170137,-1.684
0.71,0.9928,0.001005,0.1662329077238957,0.002474144785522335,0.9913921137245032,0.0010077341620062118,-1.601
0.72,0.9571,0.00086,0.5345744300400165,0.0033861315183657133,0.9735680530078638,0.0008548850062478379,-1.502
0.73,0.9221,0.0007207,0.8462895401621083,0.003925595338900679,0.9143879949968561,0.0005870006955696247,-1.438
0.74,0.8779,0.0005285,1.1085822684529671,0.004176096018285837,0.8782852748894522,0.0004375303118405506,-1.336
0.75,0.8288,0.000417,1.2480773443545492,0.0039472482186037995,0.8205276972538328,0.0002377213344856352,-1.264
0.76,0.7828,0.0001698,1.2797227537678746,0.003385658390765849,0.7600257526735354,6.084864336267448e-05,-1.188
0.77,0.7319,9.202e-05,1.2265621398639557,0.002637610472226477,0.7038804770232701,-7.380174312024264e-05,-1.112
0.78,0.6664,-9.96e-05,1.1093137453365984,0.0018112943949964524,0.6467364118828159,-0.00019103442957677254,-1.044
0.79,0.6034,-0.0003168,0.9552782658590249,0.0010134059905905395,0.5887401531919919,-0.00029274808814354114,-0.9823
0.8,0.5419,-0.0002355,0.7678375725709597,0.00025361987199021957,0.5100859570091241,-0.0004436906047291583,-0.9453
0.81,0.4784,-0.0004427,0.6129981585424167,-0.0002600658039595265,0.45937772952078393,-0.00047765647815602164,-0.8854
0.82,0.4037,-0.0005225,0.45611616665876226,-0.0006823748355308423,0.39059664733380206,-0.0005635411118918771,-0.8616
0.83,0.3301,-0.0005592,0.2929898982611011,-0.0010400739930171471,0.29373576965469644,-0.0007210186502649659,-0.8655
0.84,0.2715,-0.0007386,0.19966511655163952,-0.0010993282661226058,0.243652724322382,-0.0006948956815646193,-0.8324
0.85,0.1892,-0.0006402,0.11702543309957333,-0.0011063180235438386,0.18338880200314375,-0.0007025358989926944,-0.8399
0.86,0.1276,-0.0006749,0.030210894802958577,-0.001116849019320223,0.10226334276720109,-0.0007695504418304519,-0.874
0.87,0.05338,-0.0007279,-0.06214145763926866,-0.0011321971764375275,0.003880634133048781,-0.0008700618131495895,-0.9311
0.88,-0.02165,-0.0007116,-0.14653256442182874,-0.0011058252771852326,-0.09343319391415078,-0.0009359686740638421,-1.001
0.89,-0.08106,-0.000736,-0.18889039968722715,-0.0009354760771453231,-0.1515136523124484,-0.0008499779923459314,-1.06
0.9,-0.1536,-0.0006637,-0.25431776518391136,-0.0008562251696600773,-0.23239733167527932,-0.0008383154830098531,-1.175
0.91,-0.2259,-0.0006191,-0.2994193139189365,-0.0007095774113479977,-0.29068808881830216,-0.0007389594273690016,-1.283
0.92,-0.2966,-0.0006035,-0.3716391397099897,-0.0006584629282046729,-0.3728213654047594,-0.0007152304783667329,-1.443
0.93,-0.3662,-0.0004802,-0.4322235515699871,-0.0005575972473885146,-0.4398071713585129,-0.0006248234721236642,-1.605
0.94,-0.4428,-0.0005207,-0.48909078709345716,-0.0004397874071989286,-0.4998880322870837,-0.0005048064574935625,-1.793
0.95,-0.5093,-0.00043,-0.8167534414965385,-0.001190070249905686,-0.5333973437890956,-0.0002945303572556789,-1.979
0.96,-0.5822,-0.0004008,-1.2680575550000392,-0.0021696998475850735,-0.5769157802628271,-0.0001298473040916695,-2.181
0.97,-0.6383,-0.0001223,-1.682771707108932,-0.0027982223049404327,-0.6017566954527538,8.957963406771365e-05,-2.358
0.98,-0.6961,-3.653e-05,-2.041906285171426,-0.0030809024246629068,-0.664628680151679,0.00017098557314932438,-2.568
0.99,-0.7654,6.553e-05,-2.2838466654791065,-0.0028862218949230914,-0.725773086287882,0.00026915713957564787,-2.757
1.0,-0.8189,0.0002923,-2.4019836861990282,-0.0022829949337022674,-0.7701599506799204,0.00042894051595163796,-2.931
1.01,-0.8751,0.0004103,-2.4804428054986563,-0.0016224268473389583,-0.8601384540440413,0.00043633823076631923,-3.148
1.02,-0.9224,0.0006062,-2.480443262942074,-0.0007921023931671649,-0.930041818282999,0.0005353853724559354,-3.328
1.03,-0.9642,0.0008186,-2.405130318434192,0.00015893416015277804,-0.9559987640237487,0.0007856557388809511,-3.481
1.04,-1.007,0.0009968,-2.3471678908965505,0.000898198607608241,-1.0074614167625027,0.0009293007455236513,-3.672
1.05,-1.024,0.001239,-2.245856875834611,0.001661075045643133,-1.006738054274245,0.001240272588326442,-3.805
1.06,-1.054,0.001395,-2.199872481374171,0.0021164789314277203,-1.0423016782149412,0.001394931829014042,-3.986
1.07,-1.067,0.001522,-2.1679356496061706,0.0024578917060834506,-1.0686759914938864,0.0015723442804424584,-4.138
1.08,-1.082,0.001728,-2.1149843788111213,0.0028195330205555078,-1.0510988009737725,0.0018797211345295928,-4.253
1.09,-1.091,0.001908,-2.0937132615330514,0.003022948909383935,-1.0454952016979642,0.0021066440327980286,-4.39
1.1,-1.086,0.002164,-2.0813284116792268,0.0031724789310944032,-1.03383607032717,0.00232636883215568,-4.508
1.11,-1.082,0.002443,-2.0902667870660063,0.0032372598932369897,-1.0336921085632558,0.0024815393677216236,-4.63
1.12,-1.052,0.00252,-2.1158803394736716,0.0032490416459496282,-1.0451152855102077,0.0025839524655451086,-4.749
1.13,-1.031,0.002771,-2.0870091089981164,0.003449503126955811,-1.0007133036063682,0.002862393186172892,-4.81
1.14,-1.003,0.003021,-2.083375427893774,0.0035392998918375835,-0.9828392036860203,0.003010834394714252,-4.909
1.15,-0.9683,0.003219,-2.0486211384415793,0.003723037022898817,-0.9366906534790068,0.003232297055444722,-4.963
1.16,-0.9182,0.003364,-2.00260869634964,0.003915047171688273,-0.8827339841083784,0.0034430147802019086,-5.013
1.17,-0.8689,0.003557,-1.9628110481207839,0.0040547494872812204,-0.838362395657557,0.0035862929219690367,-5.063
1.18,-0.8047,0.003794,-1.898890068157169,0.004249505534663841,-0.7727181007517262,0.0037741906879877737,-5.08
1.19,-0.7469,0.003882,-1.8258521773460055,0.004436843645163646,-0.7000626355069289,0.003948762848474344,-5.089
1.2,-0.6623,0.003934,-1.7568390144427053,0.004573034896861466,-0.6327617214557524,0.004070054484963731,-5.093
1.21,-0.5937,0.004025,-1.6985066070944133,0.004644701556159734,-0.5767809313672536,0.0041274571486191675,-5.092
1.22,-0.5221,0.00422,-1.6098784653354465,0.004796306270307649,-0.49060080493932284,0.00426721308019568,-5.05
1.23,-0.4454,0.004335,-1.5075902670857615,0.00495484177216155,-0.3904776994956327,0.00441713514859214,-4.998
