time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
1.8e-05,-1.685,0.6689,0.0007063,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,5.39693593314763,-1.9788765088207996,-0.010503714020427109,0.0001053552240400126,0.00033341394494791653,0.11976583101207083
0.01725,-1.592,0.6348,0.0005253,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,4.556174131727076,-2.6836453700679,-0.009258886771343441,8.149297237089977e-05,0.0003076375352747521,0.15074539959416489
0.026783,-1.553,0.6055,0.0004436,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.8264242574093146,-2.7634124735929753,-0.009653221364771928,3.894417667002011e-05,0.00033370789534944035,0.10082958704972367
0.036792,-1.538,0.5811,0.0003356,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.702420111061045,-3.6675176103547784,-0.008751567684962,4.6742199768419886e-05,0.000250355473897113,0.12356804143018657
0.046782,-1.499,0.5322,0.0002685,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,2.2028634632028457,-4.642366998767493,-0.007152738844082292,5.298690908457983e-05,8.398308072510709e-05,0.15825481323137774
0.056783,-1.494,0.4883,0.0001926,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.4501900290019165,-4.149952082999523,-0.007294941145899415,5.5525261843513934e-05,0.0002220463590258923,0.1069204768923786
0.066782,-1.47,0.4492,0.0001226,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,1.700155019752188,-3.1752322811660108,-0.007441328001403569,8.155188329353755e-05,0.0004352376776173816,0.06016737208662143
0.076782,-1.46,0.4248,4.378e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-0.6997950222476845,-4.394584802506699,-0.006421674956058212,2.17692539409909e-05,0.0002671839847432204,0.08907483329727667
0.086783,-1.484,0.3613,-5.837e-06,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-1.6998450197478263,-5.859658048844386,-0.004231715469032569,3.446202794879324e-05,2.127310929048924e-05,0.14006591527897727
0.096783,-1.494,0.3076,-4.086e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-2.950000000000003,-5.615,-0.0040861499999999985,3.091309802749528e-05,7.558390197250444e-05,0.09397607800000007
0.106783,-1.543,0.249,-8.756e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-5.150565164538051,-5.615512658687351,-0.003357073148202995,9.57525882785222e-06,0.0001164505576605984,0.07349221581194743
0.116781,-1.597,0.1953,-0.000108,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-6.849907781909053,-5.615207509398905,-0.0020421027970690606,1.43175375092987e-06,0.00013712651195789448,0.08853886576922951
0.126782,-1.68,0.1367,-0.0001284,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-7.799220077992189,-6.5903409659034144,-0.001019898010198978,2.471790254566928e-05,-8.873678968027588e-06,0.08337973202679742
0.136783,-1.753,0.06348,-0.0001284,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-8.750290175002917,-5.125560902515617,-0.0010202040204020388,4.898915012063054e-05,0.00026285800049788313,0.010143733813381406
0.146782,-1.855,0.03418,-0.0001488,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-10.249990204999904,-5.126560702535602,-0.00014537900290378936,-2.436680271823222e-06,0.0003265273091025183,0.026579585728189893
0.156783,-1.958,-0.03906,-0.0001313,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-9.799900195999015,-6.5918537318385315,0.0017500000349999992,3.0935628534908854e-05,5.485732692844911e-05,0.05243000182979997
0.166782,-2.051,-0.09766,-0.0001138,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-10.50040506675802,-5.372317445175191,0.002041072962398996,2.3205546816902893e-05,0.00028426512664649485,0.009047294474219522
0.176782,-2.168,-0.1465,-9.048e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-11.199999999999989,-6.346999999999999,0.0036469999999999983,4.083572026300291e-06,0.00012078522797370024,0.044165159999999926
0.186782,-2.275,-0.2246,-4.086e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-11.44999999999996,-5.859999999999995,0.004378049999999996,1.8329214584579957e-05,0.00017882678541542214,0.004284453999999799
0.196782,-2.397,-0.2637,-2.919e-06,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-12.000000000000014,-5.6150000000000055,0.005107500000000006,-3.269488942020415e-06,0.0002359094889420191,0.0033201000000003256
0.206782,-2.515,-0.3369,6.129e-05,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-12.000000000000028,-6.100000000000005,0.006710950000000002,1.3022268380154483e-05,0.00010846273161984363,0.01394846600000016
0.216782,-2.637,-0.3857,0.0001313,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-12.449352595863829,-4.884755286683216,0.007150127580117337,2.550453368743949e-07,0.00030775588621538476,-0.011891330111465592
0.226783,-2.764,-0.4346,0.0002043,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-13.649412592863996,-5.129767536070755,0.007879664053293689,-3.6242369069542475e-05,0.00023596421882588934,-0.022651163293805954
0.236783,-2.91,-0.4883,0.0002889,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-13.150000000000006,-5.1250000000000036,0.009050000000000002,-2.3070426180514308e-05,0.00020741942618051343,-0.015165999999999846
0.246783,-3.027,-0.5371,0.0003853,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-12.700735105262112,-4.150134523827898,0.009195415314520098,-7.589674901051723e-06,0.000332719551205994,-0.05636368735688929
0.256782,-3.164,-0.5713,0.0004728,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-13.70000027399999,-3.420000068400004,0.00948485318969854,-4.914903037431923e-05,0.0004421790094209187,-0.0754318752425604
0.266783,-3.301,-0.6055,0.000575,3.922e-06,3.922e-06,0.003922,-5.882e-05,3.663e-06,0.01961,-12.699800253998006,-2.4398040487980417,0.009924941198499428,-3.0444505058966893e-05,0.0005833498939465504,-0.08662407414244988
