x,y,theta
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.0
38.07,-19.52,0.05199999999999999
38.07,-19.52,0.06999999999999999
38.07,-19.52,0.13999999999999999
38.07,-19.52,0.174
38.07,-19.52,0.24400000000000002
38.07,-19.52,0.262
38.07,-19.52,0.33199999999999996
38.07,-19.52,0.349
38.07,-19.52,0.419
38.07,-19.52,0.419
38.07,-19.52,0.489
38.07,-19.52,0.5409999999999999
38.07,-19.52,0.593
38.07,-19.52,0.628
38.07,-19.52,0.646
38.07,-19.52,0.698
38.07,-19.52,0.715
38.07,-19.52,0.75
38.07,-19.52,0.8029999999999999
38.07,-19.52,0.838
38.07,-19.52,0.8550000000000001
38.07,-19.52,0.8900000000000001
38.07,-19.52,0.925
38.07,-19.52,0.925
38.07,-19.52,0.9950000000000001
38.068028225990986,-19.51752773236534,1.03
38.045230225198964,-19.487506886942754,1.239
38.021037574090975,-19.471767902465754,1.344
37.987083755886665,-19.458801089852454,1.449
37.94861565904521,-19.45207758441287,1.518
37.928643527092134,-19.45102214836605,1.5530000000000002
37.90864669410102,-19.45066624061739,1.5710000000000002
37.86864730595029,-19.453674387483314,1.623
37.848778911927425,-19.456715262185124,1.641
37.80922817266575,-19.464508786667313,1.675
37.770069235506405,-19.474636848700623,1.693
37.73122083693652,-19.486460635258037,1.7100000000000002
37.692717801049895,-19.49993343108938,1.745
37.67371379925047,-19.507339368950817,1.745
37.63605244348831,-19.524120974420967,1.78
37.59900138923208,-19.542210180553397,1.798
37.58064165722231,-19.551586759915264,1.798
37.54414744714909,-19.571314218726066,1.798
37.52578771513932,-19.580690798087932,1.8150000000000002
37.48987591270059,-19.60200610821004,1.8150000000000002
37.45493444043331,-19.623079634630532,1.8150000000000002
37.41902263799458,-19.64439494475264,1.8330000000000002
37.4012614729847,-19.655374062089287,1.8330000000000002
37.36670496407553,-19.677073087228923,1.8330000000000002
37.33118263405577,-19.699031321902215,1.8330000000000002
37.313680678579544,-19.71097626034945,1.8330000000000002
37.279124169670375,-19.732675285489087,1.8330000000000002
37.262328825771085,-19.743395193292077,1.8330000000000002
37.228738137972506,-19.764835008898057,1.8330000000000002
37.19418162906334,-19.786534034037693,1.8330000000000002
37.14186395514429,-19.819212176513975,1.8150000000000002
37.12390805392492,-19.829869831575028,1.8150000000000002
37.08799625148619,-19.851185141697137,1.8150000000000002
37.07101068043828,-19.861601013056575,1.8150000000000002
37.036069208171,-19.882674539477065,1.8150000000000002
37.01908363712309,-19.893090410836503,1.8150000000000002
37.00112773590372,-19.903748065897556,1.8150000000000002
36.96473236606176,-19.923122715676758,1.798
36.928238155988545,-19.94285017448756,1.798
36.891518691969004,-19.96160333321129,1.78
36.85446763771277,-19.979692539343723,1.78
36.81741658345654,-19.997781745476157,1.7630000000000001
36.77987235880521,-20.01425691452932,1.7630000000000001
36.76119575770508,-20.02298529188979,1.7630000000000001
36.74232813415387,-20.030732083582482,1.7630000000000001
36.70478390950254,-20.047207252635644,1.745
36.666775905903684,-20.062019128358514,1.745
36.62876790230483,-20.076831004081384,1.728
36.59051360097123,-20.09099463460035,1.728
36.53313214897082,-20.112240080378793,1.7100000000000002
36.49449035854924,-20.12472254940598,1.7100000000000002
36.455848568127664,-20.137205018433168,1.7100000000000002
36.436458295649395,-20.142951089544685,1.693
36.416973146494136,-20.148366711613964,1.693
36.37800284818361,-20.15919795575252,1.693
36.358517699028354,-20.1646135778218,1.693
36.31954740071783,-20.175444821960358,1.675
